Nomenclator de Galicia. Ano 2017;;;;;;;;;;
Recuperados 382 rexistros;;;;;;;;;;
;;;;;;;;;;
PRO;CON;EC;ES;NUC;PROVINCIA;CONCELLO;NOME;TOTAL;HOMES;MULLERES
36;24;1;0;0;PONTEVEDRA;LALÍN;ALBARELLOS (SANTA MARÍA);46;27;19
36;24;1;1;0;PONTEVEDRA;LALÍN;ALBARELLOS;43;26;17
36;24;1;2;0;PONTEVEDRA;LALÍN;A CORREDOIRA;3;1;2
36;24;2;0;0;PONTEVEDRA;LALÍN;ALEMPARTE (SANTA MARÍA);23;14;9
36;24;2;1;0;PONTEVEDRA;LALÍN;ALEMPARTE;23;14;9
36;24;3;0;0;PONTEVEDRA;LALÍN;ANSEÁN (SANTIAGO);40;20;20
36;24;3;1;0;PONTEVEDRA;LALÍN;ALÉN;9;5;4
36;24;3;2;0;PONTEVEDRA;LALÍN;ANSEÁN;0;0;0
36;24;3;3;0;PONTEVEDRA;LALÍN;SOUTULLO;31;15;16
36;24;3;4;0;PONTEVEDRA;LALÍN;VILELA;0;0;0
36;24;4;0;0;PONTEVEDRA;LALÍN;ANZO (SAN XOÁN);158;75;83
36;24;4;1;0;PONTEVEDRA;LALÍN;AGRAZÁN;0;0;0
36;24;4;2;0;PONTEVEDRA;LALÍN;BARRIO;28;12;16
36;24;4;3;0;PONTEVEDRA;LALÍN;CASTRO DE ANZO;6;3;3
36;24;4;4;0;PONTEVEDRA;LALÍN;A COSTA;30;15;15
36;24;4;5;0;PONTEVEDRA;LALÍN;O CRUCEIRO;26;11;15
36;24;4;6;0;PONTEVEDRA;LALÍN;EIRIXE;20;11;9
36;24;4;7;0;PONTEVEDRA;LALÍN;AS NOGUEIRAS;3;2;1
36;24;4;8;0;PONTEVEDRA;LALÍN;O OUTEIRO;10;5;5
36;24;4;9;0;PONTEVEDRA;LALÍN;REIBÓ;2;1;1
36;24;4;10;0;PONTEVEDRA;LALÍN;SISTO;18;8;10
36;24;4;11;0;PONTEVEDRA;LALÍN;VILACRESPO;15;7;8
36;24;5;0;0;PONTEVEDRA;LALÍN;BARCIA (SANTO ESTEVO);208;98;110
36;24;5;1;0;PONTEVEDRA;LALÍN;AFONSÍN;2;1;1
36;24;5;2;0;PONTEVEDRA;LALÍN;AMBOADE;10;5;5
36;24;5;3;0;PONTEVEDRA;LALÍN;BARCIA;61;28;33
36;24;5;4;0;PONTEVEDRA;LALÍN;XAR;25;15;10
36;24;5;5;0;PONTEVEDRA;LALÍN;MIDÓN;28;11;17
36;24;5;6;0;PONTEVEDRA;LALÍN;O OUTEIRO;38;19;19
36;24;5;7;0;PONTEVEDRA;LALÍN;RIBELA;44;19;25
36;24;6;0;0;PONTEVEDRA;LALÍN;BENDOIRO (SAN MIGUEL);258;118;140
36;24;6;1;0;PONTEVEDRA;LALÍN;BENDOIRO DE ABAIXO;4;2;2
36;24;6;2;0;PONTEVEDRA;LALÍN;CAMPO;17;8;9
36;24;6;3;0;PONTEVEDRA;LALÍN;CASTRO;30;15;15
36;24;6;4;0;PONTEVEDRA;LALÍN;A EMPEDRADA;6;3;3
36;24;6;5;0;PONTEVEDRA;LALÍN;A IGREXA;44;16;28
36;24;6;6;0;PONTEVEDRA;LALÍN;O XUBÍN;22;12;10
36;24;6;7;0;PONTEVEDRA;LALÍN;A LAXE;50;26;24
36;24;6;8;0;PONTEVEDRA;LALÍN;PEDROUZOS;14;8;6
36;24;6;9;0;PONTEVEDRA;LALÍN;VILAR DO RÍO;34;13;21
36;24;6;10;0;PONTEVEDRA;LALÍN;VILASOA;37;15;22
36;24;7;0;0;PONTEVEDRA;LALÍN;BERMÉS (SANTA MARÍA);204;105;99
36;24;7;1;0;PONTEVEDRA;LALÍN;BERMÉS;37;20;17
36;24;7;2;0;PONTEVEDRA;LALÍN;BERMÉS DO FONDO;12;8;4
36;24;7;3;0;PONTEVEDRA;LALÍN;CAMPO DE BERMÉS;35;19;16
36;24;7;4;0;PONTEVEDRA;LALÍN;LAMELA;10;6;4
36;24;7;5;0;PONTEVEDRA;LALÍN;OÍS GRANDE;32;16;16
36;24;7;6;0;PONTEVEDRA;LALÍN;OÍS PEQUENO;15;7;8
36;24;7;7;0;PONTEVEDRA;LALÍN;ORXÁS;9;4;5
36;24;7;8;0;PONTEVEDRA;LALÍN;O REGADO;9;4;5
36;24;7;9;0;PONTEVEDRA;LALÍN;RIÁDIGOS;10;6;4
36;24;7;10;0;PONTEVEDRA;LALÍN;O VENTO;35;15;20
36;24;8;0;0;PONTEVEDRA;LALÍN;BOTOS (SAN XOÁN);524;257;267
36;24;8;1;0;PONTEVEDRA;LALÍN;ATEÁN;26;17;9
36;24;8;2;0;PONTEVEDRA;LALÍN;BAXÁN;54;24;30
36;24;8;3;0;PONTEVEDRA;LALÍN;BARREIRO;22;11;11
36;24;8;4;0;PONTEVEDRA;LALÍN;BOTOS;27;10;17
